epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.9936281442642212,0.053151685744524,1.0,0.0012945288326591253
1,1.0,0.0004865495429839939,1.0,0.00015000920393504202
2,1.0,5.242649422143586e-05,1.0,2.141741606465075e-05
3,1.0,6.199632935022237e-06,1.0,2.2264953258854803e-06
4,1.0,8.360091783288226e-07,1.0,4.2112554865525453e-07
5,1.0,1.4886396115798561e-07,1.0,1.2243960156865796e-07
6,1.0,4.285938004500167e-08,1.0,5.696622551454311e-08
7,1.0,2.125696951793543e-08,1.0,3.64525085672085e-08
8,1.0,1.4228513478542482e-08,1.0,2.8827866316305517e-08
9,1.0,1.0963666419172569e-08,1.0,2.467329451860678e-08
